OTU	p.value		
OTU_6	0.035		
OTU_6	0.015		
OTU_6	0.025		
OTU_6	0.01		
OTU_6	0.015		
OTU_6	0.03		
OTU_6	0.02		
OTU_6	0.03		
OTU_6	0.025		
OTU_6	0.02		
OTU_6	0.035		
OTU_6	0.025		
OTU_6	0.025		
OTU_6	0.025		
OTU_6	0.03		
OTU_6	0.035		
OTU_6	0.015		
OTU_6	0.02		
OTU_6	0.035		
OTU_6	0.03		
OTU_6	0.025		
OTU_6	0.025		
OTU_6	0.03		
OTU_6	0.025		
OTU_6	0.02		
OTU_6	0.025		
OTU_6	0.035		
OTU_6	0.02		
OTU_6	0.04		
OTU_6	0.02		
OTU_6	0.015		
OTU_6	0.025		
OTU_6	0.015		
OTU_6	0.02		
OTU_6	0.03		
OTU_6	0.035		
OTU_6	0.04		
OTU_6	0.04		
OTU_6	0.035		
OTU_6	0.025		
OTU_6	0.015		
OTU_6	0.035		
OTU_6	0.02		
OTU_6	0.02		
OTU_6	0.01		
OTU_6	0.025		
OTU_6	0.025		
OTU_6	0.04		
OTU_6	0.01		
OTU_6	0.025		
OTU_6	0.04		
OTU_6	0.04		
OTU_6	0.03		
OTU_6	0.03		
OTU_6	0.015		
OTU_6	0.035		
OTU_6	0.035		
OTU_6	0.02		
OTU_6	0.02		
OTU_6	0.025		
OTU_6	0.035		
OTU_6	0.005		
OTU_6	0.025		
OTU_6	0.01		
OTU_6	0.03		
OTU_6	0.02		
OTU_6	0.04		
OTU_6	0.035		
OTU_6	0.03		
OTU_6	0.025		
OTU_6	0.02		
OTU_6	0.015		
OTU_6	0.03		
OTU_6	0.01		
OTU_6	0.015		
OTU_6	0.02		
OTU_6	0.04		
OTU_6	0.02		
OTU_6	0.02	96	0.025052083
OTU_7	0.02		
OTU_7	0.015		
OTU_7	0.015		
OTU_7	0.01		
OTU_7	0.015		
OTU_7	0.015		
OTU_7	0.025		
OTU_7	0.01		
OTU_7	0.015		
OTU_7	0.02		
OTU_7	0.035		
OTU_7	0.005		
OTU_7	0.01		
OTU_7	0.035		
OTU_7	0.02		
OTU_7	0.015		
OTU_7	0.015		
OTU_7	0.03		
OTU_7	0.01		
OTU_7	0.015		
OTU_7	0.02		
OTU_7	0.02		
OTU_7	0.025		
OTU_7	0.015		
OTU_7	0.01		
OTU_7	0.015		
OTU_7	0.015		
OTU_7	0.01		
OTU_7	0.025		
OTU_7	0.01		
OTU_7	0.02		
OTU_7	0.015		
OTU_7	0.005		
OTU_7	0.02		
OTU_7	0.025		
OTU_7	0.015		
OTU_7	0.02		
OTU_7	0.01		
OTU_7	0.015		
OTU_7	0.02		
OTU_7	0.025		
OTU_7	0.005		
OTU_7	0.02		
OTU_7	0.03		
OTU_7	0.015		
OTU_7	0.015		
OTU_7	0.035		
OTU_7	0.02		
OTU_7	0.02		
OTU_7	0.02		
OTU_7	0.02		
OTU_7	0.02		
OTU_7	0.02		
OTU_7	0.035		
OTU_7	0.015		
OTU_7	0.025		
OTU_7	0.015		
OTU_7	0.015		
OTU_7	0.02		
OTU_7	0.005		
OTU_7	0.02		
OTU_7	0.015		
OTU_7	0.01		
OTU_7	0.015		
OTU_7	0.025		
OTU_7	0.01		
OTU_7	0.025		
OTU_7	0.015		
OTU_7	0.015		
OTU_7	0.025		
OTU_7	0.02		
OTU_7	0.015		
OTU_7	0.02		
OTU_7	0.02		
OTU_7	0.02		
OTU_7	0.03		
OTU_7	0.02		
OTU_7	0.01		
OTU_7	0.02		
OTU_7	0.005		
OTU_7	0.02		
OTU_7	0.02		
OTU_7	0.015		
OTU_7	0.03		
OTU_7	0.03		
OTU_7	0.015		
OTU_7	0.03		
OTU_7	0.025		
OTU_7	0.02		
OTU_7	0.035		
OTU_7	0.01		
OTU_7	0.02		
OTU_7	0.03		
OTU_7	0.02		
OTU_7	0.01		
OTU_7	0.01		
OTU_7	0.025	97	0.018505155
